"DEPARTAMENTO","PROVINCIA","MUNICIPIO","INSCRITOS RE-ELECCIÓN","INSCRITOS ELECCIÓN NACIONAL","DIFERENCIA INSCRITOS","DIFERENCIA INSCRITOS %","EMITIDOS RE-ELECCIÓN","EMITIDOS ELECCIÓN NACIONAL","DIFERENCIA EMITIDOS","DIFERENCIA EMITIDOS %","VÁLIDOS RE-ELECCIÓN","VÁLIDOS ELECCIÓN NACIONAL","DIFERENCIA VÁLIDOS","DIFERENCIA VÁLIDOS %","EVO RE-ELECCIÓN","EVO ELECCIÓN NACIONAL","DIFERENCIA EVO","EVO ELECCIÓN NACIONAL %","DIFERENCIA EVO % EN VOTOS","EVO RE-ELECCIÓN %","DIFERENCIA EVO % EN PORCENTAJES","PERDIDA"
"BENI","CERCADO","SAN JAVIER",1692,1556,136,8.04,1354,1286,68,5.02,1287,1182,105,8.16,656,637,19,53.89,2.9,50.97,-2.92,FALSE
"BENI","CERCADO","TRINIDAD",73647,71660,1987,2.7,61342,61515,-173,-0.28,59370,58633,737,1.24,20439,21170,-731,36.11,-3.58,34.43,-1.68,TRUE
"BENI","GENERAL JOSÉ BALLIVIÁN","REYES",5299,5074,225,4.25,4048,4200,-152,-3.75,3866,3955,-89,-2.3,1710,1725,-15,43.62,-0.88,44.23,0.609999999999999,TRUE
"BENI","GENERAL JOSÉ BALLIVIÁN","RURRENABAQUE",10019,9583,436,4.35,7889,7949,-60,-0.76,7496,7468,28,0.37,3418,3887,-469,52.05,-13.72,45.6,-6.45,TRUE
"BENI","GENERAL JOSÉ BALLIVIÁN","SAN BORJA",20188,18559,1629,8.07,16169,15558,611,3.78,15564,14526,1038,6.67,8375,8422,-47,57.98,-0.56,53.81,-4.16999999999999,TRUE
"BENI","GENERAL JOSÉ BALLIVIÁN","SANTA ROSA",4988,4414,574,11.51,3884,3717,167,4.3,3744,3518,226,6.04,1290,1605,-315,45.62,-24.42,34.46,-11.16,TRUE
"BENI","ITÉNEZ","BAURES",2911,2638,273,9.38,2203,2283,-80,-3.63,2158,2211,-53,-2.46,1113,1151,-38,52.06,-3.41,51.58,-0.480000000000004,TRUE
"BENI","ITÉNEZ","HUACARAJE",2068,1820,248,11.99,1623,1544,79,4.87,1578,1504,74,4.69,666,617,49,41.02,7.36,42.21,1.19,FALSE
"BENI","ITÉNEZ","MAGDALENA",5793,5472,321,5.54,4747,4757,-10,-0.21,4614,4554,60,1.3,2130,1873,257,41.13,12.07,46.16,5.02999999999999,FALSE
"BENI","MAMORÉ","PUERTO SILES",435,396,39,8.97,327,303,24,7.34,317,290,27,8.52,172,127,45,43.79,26.16,54.26,10.47,FALSE
"BENI","MAMORÉ","SAN JOAQUÍN",3053,2888,165,5.4,2216,2262,-46,-2.08,2092,2173,-81,-3.87,980,1023,-43,47.08,-4.39,46.85,-0.229999999999997,TRUE
"BENI","MAMORÉ","SAN RAMÓN",2392,2165,227,9.49,1915,1818,97,5.07,1874,1636,238,12.7,867,767,100,46.88,11.53,46.26,-0.620000000000005,FALSE
"BENI","MARBÁN","LORETO",1730,1687,43,2.49,1274,1284,-10,-0.78,1236,1190,46,3.72,670,624,46,52.44,6.87,54.21,1.77,FALSE
"BENI","MARBÁN","SAN ANDRÉS",5178,4820,358,6.91,4083,3915,168,4.11,3945,3602,343,8.69,2195,2162,33,60.02,1.5,55.64,-4.38,FALSE
"BENI","MOXOS","SAN IGNACIO",10197,9761,436,4.28,8123,8307,-184,-2.27,7779,7737,42,0.54,4801,5184,-383,67,-7.98,61.72,-5.28,TRUE
"BENI","VACA DIEZ","GUAYARAMERÍN",24080,23352,728,3.02,18569,19222,-653,-3.52,18079,18241,-162,-0.9,6215,6731,-516,36.9,-8.3,34.38,-2.52,TRUE
"BENI","VACA DIEZ","RIBERALTA",48940,48551,389,0.79,37510,41336,-3826,-10.2,36119,39178,-3059,-8.47,11453,13388,-1935,34.17,-16.9,31.71,-2.46,TRUE
"BENI","YACUMA","EXALTACIÓN",1068,1085,-17,-1.59,834,896,-62,-7.43,824,869,-45,-5.46,528,516,12,59.38,2.27,64.08,4.7,FALSE
"BENI","YACUMA","SANTA ANA DE YACUMA",8569,8117,452,5.27,6560,6457,103,1.57,6366,6093,273,4.29,2363,2475,-112,40.62,-4.74,37.12,-3.5,TRUE
"CHUQUISACA","AZURDUY","AZURDUY",4443,4318,125,2.81,3540,3615,-75,-2.12,3309,2989,320,9.67,2499,2472,27,82.7,1.08,75.52,-7.18000000000001,FALSE
"CHUQUISACA","AZURDUY","TARVITA",5480,5408,72,1.31,4487,4757,-270,-6.02,4211,4144,67,1.59,3011,3776,-765,91.12,-25.41,71.5,-19.62,TRUE
"CHUQUISACA","BELISARIO BOETO","VILLA SERRANO",5742,5675,67,1.17,4682,4881,-199,-4.25,4363,4306,57,1.31,3118,3629,-511,84.28,-16.39,71.46,-12.82,TRUE
"CHUQUISACA","HERNANDO SILES","MONTEAGUDO",13882,13242,640,4.61,11625,11653,-28,-0.24,10941,10648,293,2.68,5850,7703,-1853,72.34,-31.68,53.47,-18.87,TRUE
"CHUQUISACA","HERNANDO SILES","SAN PABLO DE HUACARETA",4156,3918,238,5.73,3273,3250,23,0.7,3103,2907,196,6.32,1530,1847,-317,63.54,-20.72,49.31,-14.23,TRUE
"CHUQUISACA","LUIS CALVO","HUACAYA",1162,1086,76,6.54,936,918,18,1.92,908,844,64,7.05,651,717,-66,84.95,-10.14,71.7,-13.25,TRUE
"CHUQUISACA","LUIS CALVO","MACHARETÍ",3547,3335,212,5.98,2846,2797,49,1.72,2646,2600,46,1.74,1488,1810,-322,69.62,-21.64,56.24,-13.38,TRUE
"CHUQUISACA","LUIS CALVO","MUYUPAMPA (VILLA VACA GUZMÁN)",4935,4682,253,5.13,4083,4061,22,0.54,3851,3652,199,5.17,2015,2737,-722,74.95,-35.83,52.32,-22.63,TRUE
"CHUQUISACA","NOR CINTI","CAMARGO",7772,7516,256,3.29,6275,6534,-259,-4.13,5948,6152,-204,-3.43,3281,4493,-1212,73.03,-36.94,55.16,-17.87,TRUE
"CHUQUISACA","NOR CINTI","INCAHUASI",3873,3720,153,3.95,3073,3103,-30,-0.98,2894,2752,142,4.91,2266,2167,99,78.74,4.37,78.3,-0.439999999999998,FALSE
"CHUQUISACA","NOR CINTI","SAN LUCAS",13113,13126,-13,-0.1,10125,10966,-841,-8.31,9516,10107,-591,-6.21,7967,9287,-1320,91.89,-16.57,83.72,-8.17,TRUE
"CHUQUISACA","NOR CINTI","VILLA CHARCAS",5683,5562,121,2.13,4560,4674,-114,-2.5,4229,4142,87,2.06,3316,3572,-256,86.24,-7.72,78.41,-7.83,TRUE
"CHUQUISACA","OROPEZA","POROMA",6256,5797,459,7.34,4927,4757,170,3.45,4572,4188,384,8.4,3514,3854,-340,92.02,-9.68,76.86,-15.16,TRUE
"CHUQUISACA","OROPEZA","SUCRE",199060,189927,9133,4.59,173966,169927,4039,2.32,165757,158899,6858,4.14,48686,80099,-31413,50.41,-64.52,29.37,-21.04,TRUE
"CHUQUISACA","OROPEZA","YOTALA",4737,4518,219,4.62,4039,3968,71,1.76,3821,3670,151,3.95,2479,3032,-553,82.62,-22.31,64.88,-17.74,TRUE
"CHUQUISACA","SUD CINTI","CAMATAQUI (VILLA ABECIA)",1568,1520,48,3.06,1268,1320,-52,-4.1,1155,1201,-46,-3.98,787,956,-169,79.6,-21.47,68.14,-11.46,TRUE
"CHUQUISACA","SUD CINTI","CULPINA",7546,7088,458,6.07,5822,6031,-209,-3.59,5303,5494,-191,-3.6,3435,4424,-989,80.52,-28.79,64.77,-15.75,TRUE
